nama_variabel,nama_variabel_turunan,nama_tahun,nama_turunan_tahun,data_content,nama_item_vertical_variabel
Upah Minimum Regional/Propinsi,Tidak Ada,2021,Tahun,2685038,INDONESIA
Upah Minimum Regional/Propinsi,Tidak Ada,2020,Tahun,2672371,INDONESIA
Upah Minimum Regional/Propinsi,Tidak Ada,2019,Tahun,2455662,INDONESIA
Upah Minimum Regional/Propinsi,Tidak Ada,2018,Tahun,2268874,INDONESIA
Upah Minimum Regional/Propinsi,Tidak Ada,2017,Tahun,2074772,INDONESIA
Upah Minimum Regional/Propinsi,Tidak Ada,2016,Tahun,1997819,INDONESIA
Upah Minimum Regional/Propinsi,Tidak Ada,2015,Tahun,1790342,INDONESIA
Upah Minimum Regional/Propinsi,Tidak Ada,2014,Tahun,1584391,INDONESIA
Upah Minimum Regional/Propinsi,Tidak Ada,2013,Tahun,1296908,INDONESIA
Upah Minimum Regional/Propinsi,Tidak Ada,2012,Tahun,1088903,INDONESIA
Upah Minimum Regional/Propinsi,Tidak Ada,2011,Tahun,988829,INDONESIA
Upah Minimum Regional/Propinsi,Tidak Ada,2010,Tahun,908824,INDONESIA
